"Industry","All categories: Occupation (full)","1 Managers, directors and senior officials","11 Corporate managers and directors","111 Chief Executives and Senior Officials","112 Production Managers and Directors","113 Functional Managers and Directors","115 Financial Institution Managers and Directors","116 Managers and Directors in Transport and Logistics","117 Senior Officers in Protective Services","118 Health and Social Services Managers and Directors","119 Managers and Directors in Retail and Wholesale","12 Other managers and proprietors","121 Managers and Proprietors in Agriculture Related Services","122 Managers and Proprietors in Hospitality and Leisure Services","124 Managers and Proprietors in Health and Care Services","125 Managers and Proprietors in Other Services","2 Professional occupations","21 Science, research, engineering and technology professionals","211 Natural and Social Science Professionals","212 Engineering Professionals","213 Information Technology and Telecommunications Professionals","214 Conservation and Environment Professionals","215 Research and Development Managers","22 Health professionals","221 Health Professionals","222 Therapy Professionals","223 Nursing and Midwifery Professionals","23 Teaching and educational professionals","231 Teaching and Educational Professionals","24 Business, media and public service professionals","241 Legal Professionals","242 Business, Research and Administrative Professionals","243 Architects, Town Planners and Surveyors","244 Welfare Professionals","245 Librarians and Related Professionals","246 Quality and Regulatory Professionals","247 Media Professionals","3 Associate professional and technical occupations","31 Science, engineering and technology associate professionals","311 Science, Engineering and Production Technicians","312 Draughtspersons and Related Architectural Technicians","313 Information Technology Technicians","32 Health and social care associate professionals","321 Health Associate Professionals","323 Welfare and Housing Associate Professionals","33 Protective service occupations","331 Protective Service Occupations","34 Culture, media and sports occupations","341 Artistic, Literary and Media Occupations","342 Design Occupations","344 Sports and Fitness Occupations","35 Business and public service associate professionals","351 Transport Associate Professionals","352 Legal Associate Professionals","353 Business, Finance and Related Associate Professionals","354 Sales, Marketing and Related Associate Professionals","355 Conservation and Environmental associate professionals","356 Public Services and Other Associate Professionals","4 Administrative and secretarial occupations","41 Administrative occupations","411 Administrative Occupations: Government and Related Organisations","412 Administrative Occupations: Finance","413 Administrative Occupations: Records","415 Other Administrative Occupations","416 Administrative Occupations: Office Managers and Supervisors","42 Secretarial and related occupations","421 Secretarial and Related Occupations","5 Skilled trades occupations","51 Skilled agricultural and related trades","511 Agricultural and Related Trades","52 Skilled metal, electrical and electronic trades","521 Metal Forming, Welding and Related Trades","522 Metal Machining, Fitting and Instrument Making Trades","523 Vehicle Trades","524 Electrical and Electronic Trades","525 Skilled Metal, Electrical and Electronic Trades Supervisors","53 Skilled construction and building trades","531 Construction and Building Trades","532 Building Finishing Trades","533 Construction and Building Trades Supervisors","54 Textiles, printing and other skilled trades","541 Textiles and Garments Trades","542 Printing Trades","543 Food Preparation and Hospitality Trades","544 Other Skilled Trades","6 Caring, leisure and other service occupations","61 Caring personal service occupations","612 Childcare and Related Personal Services","613 Animal Care and Control Services","614 Caring Personal Services","62 Leisure, travel and related personal service occupations","621 Leisure and Travel Services","622 Hairdressers and Related Services","623 Housekeeping and Related Services","624 Cleaning and Housekeeping Managers and Supervisors","7 Sales and customer service occupations","71 Sales occupations","711 Sales Assistants and Retail Cashiers","712 Sales Related Occupations","713 Sales Supervisors","72 Customer service occupations","721 Customer Service Occupations","722 Customer Service Managers and Supervisors","8 Process, plant and machine operatives","81 Process, plant and machine operatives","811 Process Operatives","812 Plant and Machine Operatives","813 Assemblers and Routine Operatives","814 Construction Operatives","82 Transport and mobile machine drivers and operatives","821 Road Transport Drivers","822 Mobile Machine Drivers and Operatives","823 Other Drivers and Transport Operatives","9 Elementary occupations","91 Elementary trades and related occupations","911 Elementary Agricultural Occupations","912 Elementary Construction Occupations","913 Elementary Process Plant Occupations","92 Elementary administration and service occupations","921 Elementary Administration Occupations","923 Elementary Cleaning Occupations","924 Elementary Security Occupations","925 Elementary Sales Occupations","926 Elementary Storage Occupations","927 Other Elementary Services Occupations"

"59.1 Motion picture, video and television programme activities",90382,9820,3009,439,734,1591,16,126,5,24,74,6811,54,4562,8,2187,9297,2072,47,722,1192,14,97,209,104,24,81,133,133,6883,267,2559,30,32,183,65,3747,46347,787,368,89,330,169,78,91,62,62,41882,39852,1947,83,3447,8,125,645,2317,3,349,4876,3401,43,1430,431,1115,382,1475,1475,4365,288,288,1611,27,241,23,1232,88,868,493,363,12,1598,411,531,229,427,1757,747,132,426,189,1010,264,631,75,40,2489,1305,1044,168,93,1184,1111,73,1288,788,225,182,204,177,500,437,45,18,10143,312,55,78,179,9831,1352,613,228,63,287,7288
"59.2 Sound recording and music publishing activities",12352,1689,758,127,80,474,5,34,2,2,34,931,1,86,1,843,1139,353,3,96,242,1,11,19,9,3,7,77,77,690,70,305,4,1,28,10,272,7316,142,74,1,67,20,7,13,9,9,6088,5937,142,9,1057,3,29,187,791,0,47,1231,887,6,232,57,401,191,344,344,375,20,20,263,4,22,3,233,1,40,31,9,0,52,0,24,16,12,80,32,12,0,20,48,21,11,16,0,144,92,45,40,7,52,44,8,125,87,10,38,27,12,38,35,2,1,253,56,3,7,46,197,50,40,19,3,64,21
"60.1 Radio broadcasting",9928,1239,365,32,40,242,0,23,2,4,22,874,1,779,4,90,2457,451,7,199,233,0,12,31,4,5,22,11,11,1964,17,261,4,8,8,6,1660,4837,118,47,6,65,36,8,28,11,11,3765,3714,45,6,907,11,9,89,737,0,61,714,531,8,107,129,249,38,183,183,217,6,6,177,1,12,4,156,4,18,11,4,3,16,0,3,10,3,58,31,9,0,22,27,17,5,5,0,186,108,41,66,1,78,68,10,80,46,8,11,16,11,34,30,1,3,140,14,0,1,13,126,22,40,23,2,17,22
"60.2 Television programming and broadcasting activities",43112,3846,1749,192,329,1077,11,96,4,5,35,2097,2,1194,5,896,11029,3749,32,1646,1929,10,132,97,36,13,48,60,60,7123,327,1977,42,11,185,139,4442,18788,758,330,16,412,91,32,59,39,39,14388,13680,662,46,3512,5,139,675,2284,1,408,3089,2103,26,487,613,821,156,986,986,2557,52,52,2184,13,159,9,1975,28,168,116,46,6,153,51,22,51,29,355,116,48,4,64,239,63,146,22,8,1698,645,541,96,8,1053,969,84,913,726,59,421,126,120,187,163,8,16,837,43,3,14,26,794,225,138,183,21,111,116
"61 Telecommunications",221223,20416,18545,766,2172,13930,88,695,11,54,829,1871,13,175,34,1649,70630,59829,112,11109,48163,51,394,525,181,43,301,222,222,10054,725,6337,869,74,19,1088,942,31155,6797,1800,193,4804,312,57,255,349,349,1636,1042,515,79,22061,33,181,4845,14453,6,2543,16431,13011,278,3947,1621,5953,1212,3420,3420,43953,578,578,40679,120,531,252,39514,262,2045,1434,519,92,651,80,67,338,166,1030,706,164,24,518,324,98,118,82,26,29153,8119,6557,1444,118,21034,18039,2995,4564,3352,124,2070,746,412,1212,968,111,133,3891,543,31,148,364,3348,598,620,791,52,990,297
"62 Computer programming, consultancy and related activities",516159,63266,59695,3223,1896,52800,173,720,40,215,628,3571,46,306,62,3157,279444,253154,629,7708,244163,144,510,1731,678,143,910,917,917,23642,865,16445,1888,221,132,1622,2469,92808,40539,2768,419,37352,603,148,455,340,340,8844,4637,4001,206,42482,60,238,7616,28662,19,5887,36480,24879,721,7243,2344,10832,3739,11601,11601,19590,441,441,16204,95,1097,219,14668,125,1813,1319,433,61,1132,290,175,469,198,2519,1776,433,58,1285,743,221,249,217,56,9400,3866,2886,828,152,5534,3734,1800,5903,3938,253,2252,1091,342,1965,1659,155,151,6749,813,65,208,540,5936,1001,1350,1526,97,1409,553
"63 Information service activities",32114,3482,2348,157,397,1562,35,96,1,23,77,1134,3,53,4,1074,9403,4291,312,369,3534,20,56,136,47,16,73,83,83,4893,98,1782,100,21,82,126,2684,8264,1736,297,26,1413,76,14,62,45,45,1355,1156,170,29,5052,10,41,1745,2745,7,504,5993,3243,101,811,705,1314,312,2750,2750,869,28,28,630,3,88,19,509,11,100,76,20,4,111,12,52,34,13,220,132,38,4,90,88,42,17,23,6,2092,880,413,446,21,1212,1016,196,673,380,40,175,131,34,293,262,11,20,1118,90,22,17,51,1028,403,107,180,12,278,48
"K Financial and insurance activities",1149118,202280,193290,7554,3224,62885,116540,994,53,632,1408,8990,114,724,223,7929,160919,60517,361,2624,56756,192,584,4911,1140,253,3518,853,853,94638,6009,79032,2250,365,160,4915,1907,335426,16652,3326,213,13113,2977,534,2443,1574,1574,5703,3714,1458,531,308520,70,5439,254201,35898,32,12880,331936,296636,2917,182512,75778,26228,9201,35300,35300,11100,1020,1020,4630,160,772,690,2920,88,3245,2270,830,145,2205,208,387,1268,342,8758,5730,1546,178,4006,3028,908,726,1146,248,72258,24673,8640,15726,307,47585,39714,7871,7022,3873,581,1404,1310,578,3149,2682,194,273,19419,1471,188,387,896,17948,4693,4469,5915,272,1116,1483
"64 Financial service activities, except insurance and pension funding",644442,145758,140642,4900,1812,40913,91148,633,20,293,923,5116,63,434,110,4509,93645,38046,167,1394,36076,93,316,1961,360,73,1528,436,436,53202,3417,44831,1244,125,83,2470,1032,141018,9600,1531,122,7947,1338,218,1120,1049,1049,2719,1724,756,239,126312,34,2669,101184,15471,10,6944,205581,188496,1135,163741,3814,16488,3318,17085,17085,6138,479,479,2707,92,470,117,1970,58,1673,1209,381,83,1279,119,232,758,170,4315,2686,1026,91,1569,1629,362,424,688,155,32034,12244,4136,7939,169,19790,15478,4312,3861,2152,384,793,677,298,1709,1478,107,124,12092,836,91,192,553,11256,2488,2726,4319,142,695,886
"65 Insurance, reinsurance and pension funding, except compulsory social security",244525,22407,21158,877,572,4787,14444,140,14,165,159,1249,21,132,42,1054,31791,11511,69,663,10657,44,78,925,300,63,562,165,165,19190,1318,16205,409,87,30,827,314,82141,3750,1122,38,2590,553,130,423,226,226,1133,722,291,120,76479,15,1149,61188,10863,5,3259,67462,60221,776,7060,46306,4180,1899,7241,7241,2861,222,222,1199,28,170,493,488,20,973,642,299,32,467,47,67,260,93,1606,1086,230,40,816,520,150,153,174,43,30333,8967,3148,5745,74,21366,18742,2624,1721,1005,101,362,385,157,716,584,47,85,4203,321,32,109,180,3882,1399,901,1003,52,211,316
"66 Activities auxiliary to financial services and insurance activities",260151,34115,31490,1777,840,17185,10948,221,19,174,326,2625,30,158,71,2366,35483,10960,125,567,10023,55,190,2025,480,117,1428,252,252,22246,1274,17996,597,153,47,1618,561,112267,3302,673,53,2576,1086,186,900,299,299,1851,1268,411,172,105729,21,1621,91829,9564,17,2677,58893,47919,1006,11711,25658,5560,3984,10974,10974,2101,319,319,724,40,132,80,462,10,599,419,150,30,459,42,88,250,79,2837,1958,290,47,1621,879,396,149,284,50,9891,3462,1356,2042,64,6429,5494,935,1440,716,96,249,248,123,724,620,40,64,3124,314,65,86,163,2810,806,842,593,78,210,281
"L Real estate activities",387930,96277,11371,1308,2452,5999,232,321,23,620,416,84906,216,1095,1356,82239,41247,4797,206,1161,3033,274,123,1150,292,201,657,383,383,34917,604,9613,20655,2270,89,1191,495,103253,3583,1303,248,2032,28445,184,28261,305,305,2080,1299,553,228,68840,27,514,9136,54708,166,4289,66873,49560,6057,12715,3999,22806,3983,17313,17313,20195,3154,3154,4067,129,1493,125,2157,163,11407,8423,1960,1024,1567,95,78,1220,174,22865,14721,587,183,13951,8144,430,415,6902,397,14172,5034,2822,2103,109,9138,7866,1272,6611,4934,392,579,480,3483,1677,1436,162,79,16437,2768,997,965,806,13669,1442,6608,1914,92,1302,2311
"68 Real estate activities",387930,96277,11371,1308,2452,5999,232,321,23,620,416,84906,216,1095,1356,82239,41247,4797,206,1161,3033,274,123,1150,292,201,657,383,383,34917,604,9613,20655,2270,89,1191,495,103253,3583,1303,248,2032,28445,184,28261,305,305,2080,1299,553,228,68840,27,514,9136,54708,166,4289,66873,49560,6057,12715,3999,22806,3983,17313,17313,20195,3154,3154,4067,129,1493,125,2157,163,11407,8423,1960,1024,1567,95,78,1220,174,22865,14721,587,183,13951,8144,430,415,6902,397,14172,5034,2822,2103,109,9138,7866,1272,6611,4934,392,579,480,3483,1677,1436,162,79,16437,2768,997,965,806,13669,1442,6608,1914,92,1302,2311
"M Professional, scientific and technical activities",1756803,191394,117668,6355,17960,85857,1284,2257,191,1484,2280,73726,451,1603,1751,69921,679339,178362,38353,77400,41441,9529,11639,25417,18449,889,6079,4523,4523,471037,133680,202159,81039,1562,1471,9561,41565,379567,55270,23351,21251,10668,5883,1947,3936,2804,2804,113426,54429,57841,1156,202184,484,34396,62061,76194,264,28785,312765,188701,9356,89087,14174,57737,18347,124064,124064,48733,5088,5088,23955,2593,10137,2921,7218,1086,9598,7266,1599,733,10092,1307,2528,2009,4248,30300,25180,3510,15357,6313,5120,1147,1862,1761,350,47441,24926,18061,6282,583,22515,20266,2249,34276,25360,3746,10172,9013,2429,8916,7054,1065,797,32988,5665,641,1440,3584,27323,6480,8493,4871,823,4237,2419
"69.1 Legal activities",313630,7671,4645,360,378,3531,119,77,26,71,83,3026,23,193,52,2758,145148,4761,157,627,3859,40,78,1600,591,176,833,398,398,138389,130402,3842,295,355,701,2189,605,49037,2419,367,86,1966,1116,111,1005,1080,1080,1342,987,247,108,43080,6,32890,3907,3565,8,2704,95992,32462,1665,10699,4331,11412,4355,63530,63530,1704,237,237,470,29,122,32,269,18,448,304,123,21,549,56,125,320,48,2807,2035,1098,51,886,772,74,225,414,59,3373,1496,715,747,34,1877,1622,255,1258,737,84,271,170,212,521,462,36,23,6640,331,60,67,204,6309,2224,2009,1348,83,189,456
"69.2 Accounting, bookkeeping and auditing activities; tax consultancy",243931,19199,17721,220,485,16620,168,75,7,72,74,1478,31,142,23,1282,95631,4076,106,508,3283,81,98,921,317,60,544,333,333,90301,612,88304,431,100,67,379,408,33320,1344,325,63,956,334,80,254,156,156,967,586,295,86,30519,13,547,25094,3131,3,1731,86756,70536,598,57086,1718,8700,2434,16220,16220,1475,246,246,430,24,98,37,259,12,440,318,108,14,359,30,48,209,72,1702,1211,531,43,637,491,92,167,204,28,1756,790,552,211,27,966,824,142,1051,567,94,148,170,155,484,438,26,20,3041,266,36,63,167,2775,670,1263,346,72,178,246
"70 Activities of head offices; management consultancy activities",242003,51956,23955,2294,2461,17151,590,525,22,395,517,28001,55,474,160,27312,95186,14432,864,3329,9160,700,379,1874,1067,163,644,740,740,78140,974,60582,1556,217,57,889,13865,44927,3045,1057,189,1799,941,165,776,326,326,3521,1873,1409,239,37094,45,383,12113,15283,14,9256,30791,21753,888,6775,2333,8823,2934,9038,9038,3516,378,378,1547,100,462,138,755,92,884,641,167,76,707,55,139,406,107,2818,1835,495,66,1274,983,317,230,364,72,5291,2204,1258,878,68,3087,2495,592,3023,1792,482,630,453,227,1231,972,145,114,4495,730,65,122,543,3765,792,1021,804,44,663,441
"71.1 Architectural and engineering activities and related technical consultancy",391855,44020,20283,1100,9751,8118,201,571,73,204,265,23737,62,294,72,23309,187136,86444,7005,61539,9521,7356,1023,1723,807,173,743,876,876,98093,826,20562,71282,592,224,3322,1285,68327,28603,7239,19494,1870,1066,167,899,689,689,10220,2628,7381,211,27749,222,231,8928,8567,171,9630,44787,28065,3404,5861,2621,11713,4466,16722,16722,23532,3194,3194,13673,2122,6811,1043,3041,656,4883,3946,466,471,1782,124,184,395,1079,2507,1647,484,98,1065,860,270,201,310,79,3173,1527,974,463,90,1646,1377,269,12022,9692,601,6266,1897,928,2330,1618,384,328,6351,1922,218,791,913,4429,702,1591,786,56,894,400
"71.2 Technical testing and analysis",65427,4896,3327,151,1309,1281,18,249,16,70,233,1569,12,37,22,1498,13635,8756,4158,2651,1092,244,611,1483,1263,14,206,97,97,3299,93,1623,573,32,18,869,91,12511,6216,5775,57,384,902,742,160,156,156,399,291,83,25,4838,38,47,1658,1857,26,1212,6274,5102,622,1003,657,2325,495,1172,1172,4779,115,115,3946,108,1255,1200,1280,103,489,353,77,59,229,26,65,77,61,776,440,69,52,319,336,30,244,47,15,10513,9728,9457,121,150,785,664,121,9545,7204,1720,1056,4246,182,2341,1937,276,128,2498,608,17,94,497,1890,209,439,271,134,745,92
"72 Scientific research and development",115138,9784,8343,766,944,5831,37,179,23,466,97,1441,131,80,28,1202,67028,41480,23724,5440,4287,612,7417,3594,2184,110,1300,1482,1482,20472,309,17655,298,110,278,1245,577,18362,8310,6546,141,1623,450,233,217,157,157,1288,959,281,48,8157,79,107,3062,3298,12,1599,9955,7752,1400,1370,866,3407,709,2203,2203,2593,282,282,1668,58,681,179,645,105,358,257,59,42,285,17,30,137,101,1398,1149,158,612,379,249,77,63,80,29,1875,424,266,137,21,1451,1346,105,1947,1579,378,584,503,114,368,256,47,65,2196,416,76,49,291,1780,282,485,489,20,343,161
"73.1 Advertising",144762,28673,26731,918,727,24478,64,242,4,90,208,1942,11,172,12,1747,33448,7363,68,494,6329,26,446,374,150,30,194,166,166,25545,234,3351,200,39,37,153,21531,51453,1675,472,51,1152,266,82,184,81,81,16010,7712,8134,164,33421,9,88,2758,29394,4,1168,14289,10853,141,3119,605,5818,1170,3436,3436,3531,164,164,693,36,205,34,393,25,487,374,99,14,2187,92,539,167,1389,939,558,240,20,298,381,105,156,96,24,7162,5004,2248,2688,68,2158,1835,323,1897,1232,119,365,467,281,665,557,74,34,3370,558,30,95,433,2812,1012,481,218,365,501,235
"73.2 Market research and public opinion polling",32233,4636,4308,172,114,3932,12,20,3,28,27,328,4,25,4,295,5161,2229,217,153,1098,13,748,98,41,8,49,41,41,2793,39,2308,97,7,1,90,251,8879,492,133,5,354,62,12,50,7,7,523,385,115,23,7795,1,8,1299,6182,1,304,2673,1815,28,527,204,776,280,858,858,198,35,35,71,6,14,3,45,3,42,28,12,2,50,2,18,22,8,164,103,33,5,65,61,20,25,10,6,9913,549,390,142,17,9364,9157,207,255,180,15,37,116,12,75,62,5,8,354,92,49,8,35,262,83,81,25,6,38,29
"74.1 Specialised design activities; 74.2 Photographic activities; 74.3 Translation and interpretation activities",127324,13285,6385,170,1409,3896,9,205,5,28,663,6900,13,99,5,6783,9838,3942,80,1301,1811,34,716,203,66,27,110,206,206,5487,67,2049,496,35,54,131,2655,83072,1918,617,1065,236,348,162,186,79,79,76112,36343,39636,133,4615,22,45,1073,3089,8,378,6960,4741,69,1211,311,2356,794,2219,2219,5825,248,248,688,61,265,48,270,44,1222,783,420,19,3667,868,1352,172,1275,1213,625,221,17,387,588,68,374,127,19,3052,2505,1731,723,51,547,438,109,2128,1684,173,582,747,182,444,384,37,23,1951,441,26,65,350,1510,352,446,93,28,396,195
"74.9 Other professional, scientific and technical activities n.e.c.",35342,5059,1512,183,324,797,61,65,9,17,56,3547,11,70,15,3451,12601,4104,1398,1314,917,417,58,271,132,39,100,121,121,8105,108,1606,5790,57,25,264,255,8076,776,405,98,273,219,46,173,62,62,2913,2563,241,109,4106,47,43,1986,1527,16,487,4989,3279,250,891,299,1401,438,1710,1710,1275,98,98,682,34,182,199,241,26,275,213,50,12,220,29,22,72,97,441,266,50,13,203,175,75,56,40,4,971,493,293,151,49,478,392,86,789,519,53,201,207,58,270,193,25,52,1141,183,32,71,80,958,77,186,471,5,136,83
"75 Veterinary activities",45158,2215,458,21,58,222,5,49,3,43,57,1757,98,17,1358,284,14527,775,576,44,84,6,65,13276,11831,89,1356,63,63,413,16,277,21,18,9,30,42,1603,472,415,2,55,179,147,32,11,11,131,102,19,10,810,2,7,183,301,1,316,9299,2343,291,545,229,1006,272,6956,6956,305,91,91,87,15,42,8,20,2,70,49,18,3,57,8,6,32,11,15535,15311,131,14380,800,224,19,121,69,15,362,206,177,21,8,156,116,40,361,174,27,32,37,78,187,175,10,2,951,118,32,15,71,833,77,491,20,10,154,81
"N Administrative and support service activities",1300705,127093,53559,2121,7457,36041,538,4290,224,696,2192,73534,4556,14002,603,54373,56389,18093,1612,4270,11065,704,442,6686,1276,250,5160,2895,2895,28715,1195,18858,3236,1187,269,1807,2163,151078,11010,5221,534,5255,3949,503,3446,8875,8875,9818,6404,2494,920,117426,937,1154,13254,44252,501,57328,125652,97793,4073,27381,17511,37787,11041,27859,27859,144453,96956,96956,26993,1259,10994,2979,10632,1129,13453,9744,2703,1006,7051,786,1096,4005,1164,115610,31038,4174,4762,22102,84572,46654,1625,16600,19693,67634,25900,11878,13447,575,41734,35648,6086,67579,22153,5057,7319,4898,4879,45426,29916,13989,1521,445217,48936,8528,5419,34989,396281,11676,264228,93056,777,16644,9900
"77 Rental and leasing activities",107897,23013,5392,147,1012,1721,69,1959,2,31,451,17621,42,209,18,17352,4248,1755,33,637,1053,12,20,173,98,9,66,50,50,2270,89,1827,102,23,5,168,56,10913,1379,896,48,435,88,28,60,70,70,1106,947,105,54,8270,51,88,1779,5713,4,635,14022,11593,88,3782,1755,4744,1224,2429,2429,12565,349,349,10278,308,5504,1758,2142,566,1344,881,282,181,594,204,35,159,196,1028,493,59,38,396,535,292,49,156,38,11062,7014,2748,4122,144,4048,3626,422,24524,2888,225,1318,630,715,21636,10757,10565,314,6522,1693,69,1090,534,4829,542,2306,240,35,1487,219
"78 Employment activities",189571,27738,15546,455,647,13768,53,174,50,247,152,12192,35,130,306,11721,13915,2576,73,448,1943,25,87,3983,328,82,3573,1873,1873,5483,396,3962,138,384,18,306,279,62533,1410,442,68,900,1039,101,938,338,338,1814,1367,275,172,57932,44,375,2217,4827,11,50458,28632,23100,594,6288,8919,4459,2840,5532,5532,4356,438,438,1516,278,424,214,574,26,1223,898,255,70,1179,105,78,884,112,17101,16062,2033,70,13959,1039,263,259,425,92,3274,1425,830,522,73,1849,1698,151,11777,4517,1775,871,1472,399,7260,6191,920,149,20245,8621,404,1303,6914,11624,952,3564,571,89,4609,1839
"79 Travel agency, tour operator and other reservation service and related activities",111337,17932,4238,291,272,2523,36,331,19,39,727,13694,23,12483,22,1166,6229,2845,52,204,2517,25,47,177,38,17,122,144,144,3063,100,2286,62,35,40,90,450,12346,1052,195,14,843,181,29,152,59,59,1504,811,350,343,9550,759,59,1442,6244,48,998,12122,10247,168,4130,653,3921,1375,1875,1875,1884,297,297,651,12,161,296,161,21,275,173,83,19,661,34,32,558,37,46833,1883,530,90,1263,44950,43933,413,480,124,6917,2205,1787,326,92,4712,3560,1152,3253,488,57,137,136,158,2765,2316,24,425,3821,278,55,49,174,3543,445,1368,356,44,292,1038
"80 Security and investigation activities",143113,6452,2824,149,714,1495,31,213,97,19,106,3628,8,83,23,3514,4122,1723,99,603,963,26,32,164,67,6,91,88,88,2147,73,1672,112,50,9,175,56,13357,851,442,63,346,174,21,153,7752,7752,278,183,61,34,4302,20,53,872,2205,28,1124,9789,7746,340,2845,682,3129,750,2043,2043,6264,163,163,5000,145,887,118,3745,105,809,608,170,31,292,38,46,166,42,2729,1073,99,472,502,1656,1089,62,427,78,2986,969,509,425,35,2017,1789,228,5027,1609,138,1011,301,159,3418,3201,99,118,92387,1366,99,480,787,91021,636,1998,86380,91,1236,680
"81.1 Combined facilities support activities",38614,7793,3271,70,1298,1603,23,131,14,51,81,4522,13,131,29,4349,4030,1629,16,771,717,107,18,92,32,8,52,37,37,2272,62,1545,359,22,6,245,33,5540,1472,635,79,758,150,13,137,206,206,210,128,63,19,3502,16,50,786,1748,110,792,6364,5237,183,1111,656,2424,863,1127,1127,5110,276,276,3125,43,1355,63,1483,181,1356,928,148,280,353,16,25,280,32,1917,469,50,40,379,1448,71,32,832,513,1282,195,129,49,17,1087,749,338,1622,1198,49,575,103,471,424,300,75,49,4956,458,69,111,278,4498,678,2139,1007,13,354,307
"81.2 Cleaning activities",367500,14494,8794,270,644,7237,16,294,17,147,169,5700,20,417,101,5162,5438,1157,174,367,404,194,18,861,243,69,549,307,307,3113,64,1977,322,489,44,178,39,6613,1344,992,44,308,737,128,609,167,167,434,267,80,87,3931,14,47,790,1964,95,1021,11801,9428,1390,2331,709,3807,1191,2373,2373,6149,1165,1165,1798,161,623,194,779,41,1983,1369,489,125,1203,147,42,819,195,42044,8825,965,3857,4003,33219,314,515,13677,18713,2933,1775,1413,299,63,1158,956,202,8502,3276,505,1023,520,1228,5226,4092,896,238,269526,9626,454,980,8192,259900,1140,249735,2289,242,2663,3831
"81.3 Landscape service activities",132330,5727,799,66,237,310,1,99,4,12,70,4928,4351,110,10,457,3937,1301,893,131,87,180,10,279,224,9,46,59,59,2298,36,344,1833,24,20,27,14,2252,302,238,33,31,75,23,52,33,33,263,172,61,30,1579,1,7,236,983,198,154,4017,2803,128,716,139,1370,450,1214,1214,101124,93873,93873,1815,185,899,203,468,60,4493,3316,943,234,943,106,69,495,273,831,527,85,84,358,304,43,58,178,25,752,618,480,114,24,134,103,31,3353,1916,134,298,106,1378,1437,799,520,118,10337,8404,7151,957,296,1933,197,808,334,28,319,247
"82 Office administrative, office support and other business support activities",210343,23944,12695,673,2633,7384,309,1089,21,150,436,11249,64,439,94,10652,14470,5107,272,1109,3381,135,210,957,246,50,661,337,337,8069,375,5245,308,160,127,618,1236,37524,3200,1381,185,1634,1505,160,1345,250,250,4209,2529,1499,181,28360,32,475,5132,20568,7,2146,38905,27639,1182,6178,3998,13933,2348,11266,11266,7001,395,395,2810,127,1141,133,1280,129,1970,1571,333,66,1826,136,769,644,277,3127,1706,353,111,1242,1421,649,237,425,110,38428,11699,3982,7590,127,26729,23167,3562,9521,6261,2174,2086,1630,371,3260,2260,890,110,37423,18490,227,449,17814,18933,7086,2310,1879,235,5684,1739
"O Public administration and defence; compulsory social security",1598413,128539,102671,10352,6551,24075,494,2710,50493,7291,705,25868,291,2149,2047,21381,195038,49342,4982,14294,21683,7347,1036,17655,6975,1654,9026,12292,12292,115749,16585,57514,8247,17922,1920,9735,3826,543739,28025,13539,1826,12660,24460,1926,22534,356691,356691,11880,7414,1731,2735,122683,1966,8158,32463,18457,1594,60045,501717,466305,329203,35063,21643,64173,16223,35412,35412,42164,4582,4582,20635,708,5077,7763,6495,592,9088,5836,1741,1511,7859,494,680,5896,789,37814,28352,6007,1801,20544,9462,3718,1155,3845,744,50918,5401,3153,1954,294,45517,39598,5919,26506,11678,1052,4699,3153,2774,14828,11655,1033,2140,71978,6054,1311,2187,2556,65924,4943,18331,30871,303,6330,5146
"84.11 General public administration activities",521007,38248,26351,8188,2476,11771,224,662,768,1996,266,11897,76,1018,1159,9644,76844,15930,1334,3385,9116,1719,376,3045,1186,503,1356,3829,3829,54040,5323,28185,5505,8947,975,3394,1711,89782,10950,3589,963,6398,11583,264,11319,6906,6906,3915,2073,742,1100,56428,65,4249,19600,7494,733,24287,234141,219491,144551,24491,9206,33883,7360,14650,14650,10616,2624,2624,2639,101,705,382,1336,115,3427,2047,489,891,1926,102,366,1266,192,18443,13795,2475,400,10920,4648,1709,452,2138,349,21902,2514,1197,1200,117,19388,17222,2166,7730,3131,259,830,748,1294,4599,3985,361,253,23301,1828,453,616,759,21473,2481,7915,7941,152,1242,1742
"84.12 Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",150435,15192,10694,587,1009,3887,116,263,45,4715,72,4498,32,463,644,3359,40596,10630,1257,1878,2468,4864,163,6421,2209,669,3543,5903,5903,17642,521,8014,1014,2539,499,4458,597,25955,3365,1790,138,1437,4998,315,4683,555,555,1466,884,144,438,15571,26,394,3879,2489,409,8374,46620,37443,16013,3692,3171,12739,1828,9177,9177,2421,556,556,698,20,230,79,330,39,771,443,100,228,396,33,35,264,64,8345,7130,2331,396,4403,1215,423,135,533,124,3175,508,342,136,30,2667,2287,380,2477,1112,89,311,440,272,1365,950,168,247,5654,1054,155,754,145,4600,448,1710,1620,21,365,436
"84.13 Regulation of and contribution to more efficient operation of businesses",48874,3514,2158,215,539,997,27,249,17,66,48,1356,86,108,19,1143,8510,2607,405,797,894,422,89,347,228,13,106,187,187,5369,339,3301,715,99,48,632,235,10399,881,408,97,376,405,31,374,916,916,333,215,75,43,7864,12,256,1580,1069,170,4777,20062,18989,14531,710,1006,2145,597,1073,1073,1044,238,238,314,13,102,60,120,19,381,179,53,149,111,6,11,58,36,862,565,77,53,435,297,193,29,47,28,1254,206,107,83,16,1048,859,189,1129,579,28,141,167,243,550,410,50,90,2100,538,400,57,81,1562,175,461,729,8,93,96
